dataset,model,layer,target,subject,pearsonr,pearsonr_nc,ev,ev_nc,enc_rsa,enc_cka
TVSD,Transformer,features/language_model-layers-3,IT,monkeyN,0.7120865104686966,0.7285639570812894,0.4782313269472676,0.4990955234150014,0.3948556084137797,0.7510383188440416
TVSD,Transformer,features/language_model-layers-8,V1,monkeyF,0.4732632278801454,0.4866483323490188,0.20181789808317885,0.21556294123952063,0.23235584033508355,0.38489406006192023
TVSD,Transformer,features/language_model-layers-8,V4,monkeyF,0.5795685257099373,0.5909315709437479,0.33240286331849983,0.3448237696880446,0.36465775610244583,0.5444618258175861
TVSD,Transformer,features/language_model-layers-8,IT,monkeyF,0.6431309891171758,0.6665801714940044,0.3747068359514409,0.40164852554361924,0.6102916761364797,0.630500169295657
TVSD,Transformer,features/language_model-layers-8,V1,monkeyN,0.5620384890987993,0.5695309728829335,0.30776790820260647,0.3165811225661749,0.25224347779482575,0.4991076229233442
TVSD,Transformer,features/language_model-layers-8,V4,monkeyN,0.6268405953997768,0.6408218981862892,0.3741521022961485,0.3902986513070035,0.4612017685513331,0.5652024403166114
TVSD,Transformer,features/language_model-layers-8,IT,monkeyN,0.6929275807080749,0.7089454271744673,0.44947244976840917,0.46878475343406384,0.39138822380624283,0.7162414306482123
TVSD,Transformer,features/visual-blocks-10,V1,monkeyF,0.64391482021736,0.6621419980920414,0.4116448296694994,0.43372855360683443,0.48153690549908984,0.6567517840184186
TVSD,Transformer,features/visual-blocks-10,V4,monkeyF,0.6725222014145199,0.6854655868260607,0.4493530289884756,0.4654735197838193,0.5279498969398255,0.6970605649779955
TVSD,Transformer,features/visual-blocks-10,IT,monkeyF,0.6892050955999254,0.7142692930359469,0.45255637235650065,0.4862087898894938,0.6748013547021419,0.6775637069422774
TVSD,Transformer,features/visual-blocks-10,V1,monkeyN,0.6925269867012254,0.7018764843624808,0.48411958132613325,0.4970028858254448,0.4092051426091582,0.7166995438063732
TVSD,Transformer,features/visual-blocks-10,V4,monkeyN,0.7108873014400788,0.726594868757045,0.4946217927942563,0.5158158416009944,0.5968831256886502,0.729362110978542
TVSD,Transformer,features/visual-blocks-10,IT,monkeyN,0.7454160328414126,0.7628219113307573,0.524595078309184,0.5478219974797076,0.5021757580603091,0.7623021227561638
TVSD,Transformer,features/visual-blocks-14,V1,monkeyF,0.5962968546741154,0.6131821388596566,0.3520747969502354,0.37107715994744767,0.39127235466014615,0.5849884596891126
TVSD,Transformer,features/visual-blocks-14,V4,monkeyF,0.6341508937644235,0.6461515550875799,0.3991257326649742,0.4131875001775606,0.47956006065612594,0.6491236322096302
TVSD,Transformer,features/visual-blocks-14,IT,monkeyF,0.688981803556862,0.7140018024583059,0.4477775294312163,0.4810507008945885,0.6584447915811659,0.6940576096956765
TVSD,Transformer,features/visual-blocks-14,V1,monkeyN,0.6315633760936057,0.640032817494125,0.3980218646038255,0.4091969590686861,0.30822059558706705,0.6257186795216443
TVSD,Transformer,features/visual-blocks-14,V4,monkeyN,0.68409524462922,0.6992403971055166,0.45188486765216007,0.47180765016546683,0.5779493495250373,0.6744638460176926
TVSD,Transformer,features/visual-blocks-14,IT,monkeyN,0.7380795672853614,0.7550201679115225,0.5190502686796539,0.5411773236897305,0.4947856670753163,0.7862007790879502
TVSD,Transformer,features/visual-blocks-18,V1,monkeyF,0.5610834659427355,0.5770119941884547,0.30453907678304504,0.3215306247996061,0.34023186520565496,0.529167380269047
TVSD,Transformer,features/visual-blocks-18,V4,monkeyF,0.5968370461798914,0.6080965924152457,0.354170263335953,0.3661551884436269,0.41035843222160784,0.5948561876029497
TVSD,Transformer,features/visual-blocks-18,IT,monkeyF,0.6639705006097534,0.6880844834440014,0.4098420674083994,0.44042095860944624,0.6247832486330672,0.6681500445412248
TVSD,Transformer,features/visual-blocks-18,V1,monkeyN,0.5985695283978371,0.606646429480332,0.3549122748571442,0.3650226181006103,0.254443059300221,0.5767158286672008
TVSD,Transformer,features/visual-blocks-18,V4,monkeyN,0.6563921608333316,0.67102203816202,0.4155520589248917,0.4336025269316108,0.5443526970267585,0.6305130873832615
TVSD,Transformer,features/visual-blocks-18,IT,monkeyN,0.7096991792501022,0.7260029065242098,0.48361447689457426,0.50439101539426,0.44078054880702716,0.7544092513465857
TVSD,Transformer,features/visual-blocks-2,V1,monkeyF,0.7746805893640364,0.7973181334465853,0.5991136888520736,0.632750507411466,0.7007769443014646,0.8498533225906243
TVSD,Transformer,features/visual-blocks-2,V4,monkeyF,0.6660021699386106,0.6791009574660465,0.44029948454789075,0.45702181403464315,0.5301356957075845,0.6670304426487802
TVSD,Transformer,features/visual-blocks-2,IT,monkeyF,0.5821491070276601,0.6035487627272293,0.3292798986682639,0.35553222518764216,0.4880280451097141,0.4717722969387551
TVSD,Transformer,features/visual-blocks-2,V1,monkeyN,0.8138036596018151,0.8248487294213213,0.6630270239892525,0.6807250237287833,0.6269918397822494,0.886794839547052
