dataset,model,layer,target,subject,pearsonr,pearsonr_nc,ev,ev_nc,enc_rsa,enc_cka
NSD,ResNet,features/layer3-15,V1v,subj01,0.5339684637916181,0.7825222766427922,0.31365636169045435,0.6228547530321565,0.6077982472494806,0.5806276578409909
NSD,ResNet,features/layer3-15,V2v,subj01,0.49889675682229406,0.7647869099793132,0.2778977951039026,0.5966340383962039,0.5759220984190627,0.5805374161652184
NSD,ResNet,features/layer3-15,V3v,subj01,0.489828938170785,0.7864049583789835,0.26020455039992446,0.6207116531004776,0.5423408553383666,0.5222742390948535
NSD,ResNet,features/layer3-15,hV4,subj01,0.4428857083176177,0.7694359684970247,0.2126130051639533,0.5914173510964286,0.49646382963408897,0.4384880672376101
NSD,ResNet,features/layer3-15,FFA-1,subj01,0.4122999695961181,0.7542647748581022,0.18723692620293675,0.5696494273143026,0.5850639198377673,0.5560827796927343
NSD,ResNet,features/layer3-15,VWFA-1,subj01,0.36560270197002936,0.6523903929312789,0.14364527364651125,0.4242280044117464,0.4792646451782422,0.3233138035358883
NSD,ResNet,features/layer3-15,PPA,subj01,0.44894405609924976,0.7999100900886518,0.21453951440587085,0.6362647962362991,0.4776536698981883,0.5289727959710234
NSD,ResNet,features/layer3-15,OPA,subj01,0.4038227330250555,0.7230306708425915,0.1760822696425786,0.5229688119817815,0.4748821386093388,0.3516465487687685
NSD,ResNet,features/layer3-15,EBA,subj01,0.46357723466189044,0.7293777738557936,0.23352482614361872,0.5257799341594351,0.6556837489241256,0.6082702764492959
NSD,ResNet,features/layer3-20,V1v,subj01,0.5270831919693977,0.7721365688204745,0.30607965447626606,0.6071093604123761,0.5985468323844104,0.5764153278137174
NSD,ResNet,features/layer3-20,V2v,subj01,0.49339393506530904,0.7560867737496597,0.2721221958190673,0.5834375036296452,0.5725278264761534,0.572637493640616
NSD,ResNet,features/layer3-20,V3v,subj01,0.4864682161234967,0.7808079964476871,0.2570184383601625,0.6126490566465386,0.5438053243843969,0.5167495038522033
NSD,ResNet,features/layer3-20,hV4,subj01,0.44338309801675146,0.7694783498674073,0.21377547672551345,0.5924223205389315,0.5024017278794398,0.4389061805573171
NSD,ResNet,features/layer3-20,FFA-1,subj01,0.4160193669788616,0.7613107892565942,0.19029000662412998,0.580035538976142,0.5916289481983178,0.5618323308958685
NSD,ResNet,features/layer3-20,VWFA-1,subj01,0.36693441532451404,0.6544591924396588,0.14509522760973187,0.42813947081675513,0.485534638058938,0.32428167325654367
NSD,ResNet,features/layer3-20,PPA,subj01,0.4560336294363455,0.8126011334805838,0.22091225459678185,0.6555555219163112,0.48624744174039514,0.546912671708506
NSD,ResNet,features/layer3-20,OPA,subj01,0.4133385879559699,0.7406816384557408,0.18416642097150462,0.5491851708584556,0.4866152040657818,0.3685764368338811
NSD,ResNet,features/layer3-20,EBA,subj01,0.47069062197385103,0.7412667961893473,0.24036572678147158,0.5433053606634742,0.6639374449140526,0.619084005167096
NSD,ResNet,features/layer3-25,V1v,subj01,0.5223012397054608,0.765198188745877,0.30059960609520936,0.5964980825799998,0.5899850531990738,0.5752612634558578
NSD,ResNet,features/layer3-25,V2v,subj01,0.4881006586941109,0.7485591419204105,0.2657027405718177,0.5713362122033251,0.5610846234724414,0.5673720612871559
NSD,ResNet,features/layer3-25,V3v,subj01,0.48201390156725293,0.7741452597200132,0.25207251244058637,0.6019967827460005,0.5351909144644259,0.5115444819944819
NSD,ResNet,features/layer3-25,hV4,subj01,0.44280613025382215,0.7683319293959623,0.21296283522676557,0.5899565720789933,0.4987234168324889,0.4369351031218249
NSD,ResNet,features/layer3-25,FFA-1,subj01,0.4229127865728785,0.774567226502459,0.19650691513951918,0.6009171154717456,0.6066694012937954,0.5742713929191391
NSD,ResNet,features/layer3-25,VWFA-1,subj01,0.375085583542239,0.6694600702682768,0.1517207941990301,0.4485043708173775,0.4970483883309083,0.3333052196676628
