dataset,target,model,layer,RSA,CKA
TVSD,V1,ResNet,features/layer3-15,0.07068822000564104,0.1400127331741521
TVSD,V1,ResNet,features/layer3-20,0.07224138116267118,0.12980370352665632
TVSD,V1,ResNet,features/layer3-25,0.06639362047903519,0.12452355141539197
TVSD,V1,ResNet,features/layer3-30,0.07327198842168314,0.14077420652395523
TVSD,V1,ResNet,features/layer3-5,0.13150383395587528,0.23265443216470222
TVSD,V1,ResNet,features/layer4-1,0.07882662269005146,0.10518664455642082
TVSD,V1,Transformer,features/language_model-layers-11,0.024704544774651907,0.045718476099970186
TVSD,V1,Transformer,features/language_model-layers-16,0.023757776038940498,0.049436977892352296
TVSD,V1,Transformer,features/language_model-layers-3,0.036446558418882946,0.0496786532655476
TVSD,V1,Transformer,features/language_model-layers-8,0.03761567592832803,0.05605236211616788
TVSD,V1,Transformer,features/visual-blocks-10,0.06643608788514578,0.03163571218385458
TVSD,V1,Transformer,features/visual-blocks-14,0.047160976098681584,0.01660967764800494
TVSD,V1,Transformer,features/visual-blocks-18,0.04525974199734904,0.02033998855160688
TVSD,V1,Transformer,features/visual-blocks-2,0.10266304020663358,0.1586937823119327
TVSD,V1,Transformer,features/visual-blocks-22,0.0410564435352764,0.027625169107922724
TVSD,V1,Transformer,features/visual-blocks-6,0.10546793599965602,0.14854138903718445
TVSD,V4,ResNet,features/layer1-0,0.085446169982313,0.1807493293810205
TVSD,V4,ResNet,features/layer2-0,0.16524203075503982,0.21939942026823012
TVSD,V4,ResNet,features/layer3-0,0.23168966769100124,0.2809697280645662
TVSD,V4,ResNet,features/layer3-10,0.17723615978430557,0.23226621579642387
TVSD,V4,ResNet,features/layer3-15,0.137182085646188,0.20598985203374293
TVSD,V4,ResNet,features/layer3-20,0.14148825237883866,0.21416873700085226
TVSD,V4,ResNet,features/layer3-25,0.12931184801463175,0.21044654818451958
TVSD,V4,ResNet,features/layer3-30,0.13107757445351578,0.20872670020816034
TVSD,V4,ResNet,features/layer3-5,0.1842444682145204,0.2533799552549129
TVSD,V4,ResNet,features/layer4-1,0.1532554994171052,0.1696587660906322
TVSD,V4,Transformer,features/language_model-layers-11,0.05383822501310803,0.10293393738902787
TVSD,V4,Transformer,features/language_model-layers-16,0.06094236312447768,0.09079038537964199
TVSD,V4,Transformer,features/language_model-layers-3,0.05170407124348392,0.10592898869330747
TVSD,V4,Transformer,features/language_model-layers-8,0.05517783748828181,0.10069075199866918
TVSD,V4,Transformer,features/visual-blocks-10,0.038088043034452776,0.009324022927003552
TVSD,V4,Transformer,features/visual-blocks-14,0.037428579415388186,0.006293962378643344
TVSD,V4,Transformer,features/visual-blocks-18,0.04531901238961689,0.01385486423367895
TVSD,V4,Transformer,features/visual-blocks-2,0.0456243571257154,0.07051901547562023
TVSD,V4,Transformer,features/visual-blocks-22,0.06814962709301486,0.03567582627858851
TVSD,V4,Transformer,features/visual-blocks-6,0.06480357689972022,0.08413962338480396
