model,target,subject,method,pearsonr,pearsonr_nc,ev,ev_nc
Transformer,early_0_200ms,sub-08,per_subject_baseline,0.5246345494929131,0.6144072736268495,0.23672635843454662,0.33476665928364036
Transformer,early_0_200ms,sub-09,per_subject_baseline,0.5516376345180263,0.7894874221099616,0.19763084688591945,0.40106443201558034
Transformer,early_0_200ms,sub-10,per_subject_baseline,0.47913661726896567,0.5906554312102299,0.2013461106447165,0.3151214793733807
Transformer,middle_200_500ms,sub-01,per_subject_baseline,0.29750881752971725,0.4620209317911204,0.06491348941066631,0.1706462115343027
Transformer,middle_200_500ms,sub-02,per_subject_baseline,0.22213539428392523,0.32061588463418045,-0.15691607724140116,0.01998873263698828
Transformer,middle_200_500ms,sub-03,per_subject_baseline,0.36731114752573735,0.47290305435203067,-0.013932854761010189,0.13802747825273357
Transformer,middle_200_500ms,sub-04,per_subject_baseline,0.3089710896632199,0.4183787310497249,0.050762964359146935,0.11283031084994664
Transformer,middle_200_500ms,sub-05,per_subject_baseline,0.2902517304146296,0.3954866042855401,0.051350289720646425,0.09831743517532363
Transformer,middle_200_500ms,sub-06,per_subject_baseline,0.40004287750041606,0.4903036807066092,0.14419630642210782,0.21487796386902733
Transformer,middle_200_500ms,sub-07,per_subject_baseline,0.34706779375729857,0.4592909224330704,0.07310804683396939,0.1475166400061376
Transformer,middle_200_500ms,sub-08,per_subject_baseline,0.30548708685982034,0.3822850466723466,0.014749980275823572,0.09397281102511386
Transformer,middle_200_500ms,sub-09,per_subject_baseline,0.27971274163779575,0.4283487111170961,0.0188295608765588,0.09430655958515603
Transformer,middle_200_500ms,sub-10,per_subject_baseline,0.45402046177722516,0.5871204403843278,0.1298553029175605,0.22791144838840602
Transformer,late_500_800ms,sub-01,per_subject_baseline,0.0232945159481051,0.09637965742724504,-0.08289703232242175,0.00580975529433569
Transformer,late_500_800ms,sub-02,per_subject_baseline,0.08004741418090806,0.19872894411228292,-0.5023633766967066,0.0
Transformer,late_500_800ms,sub-03,per_subject_baseline,0.08858874560271664,0.20442277708484377,-0.12088656659758902,0.013265245894466676
Transformer,late_500_800ms,sub-04,per_subject_baseline,0.08882358925523844,0.23792864119920146,-0.07378384908007211,0.02191053172027144
Transformer,late_500_800ms,sub-05,per_subject_baseline,0.27277131401004845,0.6263714511104093,0.01113046184224521,0.2112924045241601
Transformer,late_500_800ms,sub-06,per_subject_baseline,0.21798348023647623,0.5050784517419621,0.010399331992357704,0.14864795470248002
Transformer,late_500_800ms,sub-07,per_subject_baseline,0.11004324398945188,0.28923851755490204,-0.04651957606211805,0.03928939461868073
Transformer,late_500_800ms,sub-08,per_subject_baseline,0.12002908371410782,0.30252221265505747,-0.17237940451590852,0.0068238312993752544
Transformer,late_500_800ms,sub-09,per_subject_baseline,0.1192021167702821,0.2962116577057332,-0.07953594989528054,0.032833129085897375
Transformer,late_500_800ms,sub-10,per_subject_baseline,0.22566138986468137,0.5113284868387046,-0.061473920945955905,0.11517924530354268
